title,url,img,score,rank,popularity,watching,completed,on_hold,dropped,plan_to_watch,members,favorites,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,Source,genres,demographic,duration,rating
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama_Shirogane_no_Tamashii-hen_-_Kouhan-sen,https://cdn.myanimelist.net/images/anime/1776/96566.jpg,8.881,26,1234,11196,136323,2957,2062,69177,221715,1086,TV,14,Finished Airing,"Jul 9, 2018 to Oct 8, 2018",Summer 2018,Mondays at 01,"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Kusuriya no Hitorigoto,https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto,https://cdn.myanimelist.net/images/anime/1708/138033.jpg,8.861,27,294,104884,495966,13406,8027,141990,764273,25187,TV,24,Finished Airing,"Oct 22, 2023 to Mar 24, 2024",Fall 2023,Sundays at 01,"Dentsu, Square Enix, Nippon Television Network, TOHO animation, Shogakukan, Imagica Infos",Crunchyroll,"OLM, TOHO animation STUDIO",Light novel,"Drama, Mystery",,22 min. per ep.,PG-13 - Teens 13 or older
Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,https://cdn.myanimelist.net/images/anime/6/87322.jpg,8.861,28,604,18833,262647,5598,3023,140495,430596,9038,TV Special,7,Finished Airing,"Aug 12, 2017 to Aug 13, 2017",,,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,"Comedy, Mystery, Supernatural",,22 min. per ep.,R - 17+ (violence & profanity)
Shingeki no Kyojin: The Final Season - Kanketsu-hen,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,https://cdn.myanimelist.net/images/anime/1279/131078.jpg,8.861,29,261,105187,572127,8885,3925,133681,823805,17029,TV Special,2,Finished Airing,"Mar 4, 2023 to Nov 5, 2023",,,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,MAPPA,Manga,"Action, Drama, Suspense",Shounen,1 hr. 12 min. per ep.,R - 17+ (violence & profanity)
Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,https://cdn.myanimelist.net/images/anime/1825/110716.jpg,8.841,30,328,21193,426617,5569,2443,250257,706079,9587,Movie,1,Finished Airing,"Sep 18, 2020",,,"Shochiku, ABC Animation",Funimation,Kyoto Animation,Light novel,"Award Winning, Drama",,2 hr. 20 min.,PG-13 - Teens 13 or older
Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,https://cdn.myanimelist.net/images/anime/1443/111830.jpg,8.841,31,1960,18277,59975,2829,1971,44960,128012,2628,TV,26,Finished Airing,"Apr 6, 2020 to Oct 17, 2021",Spring 2020,Mondays at 00,"Shueisha, NHK Enterprises",Funimation,"Studio Pierrot, Studio Signpost",Manga,,Seinen,25 min. per ep.,R - 17+ (violence & profanity)
Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,https://cdn.myanimelist.net/images/anime/5/87048.jpg,8.831,32,11,68327,2574720,7725,4282,314674,2969728,94602,Movie,1,Finished Airing,"Aug 26, 2016",,,"TOHO, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, JR East Marketing & Communications, Kadokawa, voque ting","Funimation, NYAV Post",CoMix Wave Films,Original,"Award Winning, Drama",,1 hr. 46 min.,PG-13 - Teens 13 or older
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,https://myanimelist.net/anime/59571/Shingeki_no_Kyojin_Movie__Kanketsu-hen_-_The_Last_Attack,https://cdn.myanimelist.net/images/anime/1379/145452.jpg,8.831,33,2871,3337,44457,570,505,22600,71469,524,Movie,1,Finished Airing,"Nov 8, 2024",,,Pony Canyon,"None found, add some",MAPPA,Manga,"Action, Drama, Suspense",Shounen,2 hr. 24 min.,R - 17+ (violence & profanity)
Vinland Saga Season 2,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,https://cdn.myanimelist.net/images/anime/1170/124312.jpg,8.821,34,271,96105,524005,16115,8793,163197,808215,19495,TV,24,Finished Airing,"Jan 10, 2023 to Jun 20, 2023",Winter 2023,Tuesdays at 00,"Dentsu, Kodansha, Twin Engine",Crunchyroll,MAPPA,Manga,"Action, Adventure, Drama",Seinen,25 min. per ep.,R - 17+ (violence & profanity)
Gintama. Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen,https://cdn.myanimelist.net/images/anime/12/89603.jpg,8.811,35,1179,13217,145645,3377,2242,69458,233939,1220,TV,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",Winter 2018,Mondays at 01,"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Boku no Hero Academia: Final Season,https://myanimelist.net/anime/60098/Boku_no_Hero_Academia__Final_Season,https://cdn.myanimelist.net/images/anime/1959/151055.jpg,8.801,36,1208,56103,84240,1610,695,86084,228732,1969,TV,11,Finished Airing,"Oct 4, 2025 to Dec 13, 2025",Fall 2025,Saturdays at 17,"Bones, Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha, Techno Sound, Toho Music","None found, add some",Bones Film,Manga,,Shounen,23 min. per ep.,PG-13 - Teens 13 or older
Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo,https://cdn.myanimelist.net/images/anime/4/86334.jpg,8.781,37,349,71478,377615,34151,16561,175569,675374,24664,TV,75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",Fall 2000,Tuesdays at 00,VAP,"Discotek Media, Geneon Entertainment USA",Madhouse,Manga,,Shounen,23 min. per ep.,PG-13 - Teens 13 or older
Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,https://cdn.myanimelist.net/images/anime/1000/110531.jpg,8.781,38,31,292974,1724834,26497,18172,167725,2230202,53679,TV,16,Finished Airing,"Dec 7, 2020 to Mar 29, 2021",Winter 2021,Mondays at 00,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,MAPPA,Manga,"Action, Drama, Suspense",Shounen,23 min. per ep.,R - 17+ (violence & profanity)
Takopii no Genzai,https://myanimelist.net/anime/60489/Takopii_no_Genzai,https://cdn.myanimelist.net/images/anime/1182/149879.jpg,8.781,39,1056,35102,154698,2754,1803,65629,259986,5476,ONA,6,Finished Airing,"Jun 28, 2025 to Aug 2, 2025",,,"TBS, Movic, Magic Capsule, KlockWorx, Good Smile Company, Toy's Factory, Toho Music","None found, add some",Enishiya,Manga,"Drama, Sci-Fi",Shounen,26 min. per ep.,R - 17+ (violence & profanity)
Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,https://cdn.myanimelist.net/images/anime/1084/112813.jpg,8.781,40,499,13837,370318,3218,1788,114585,503746,8065,Movie,1,Finished Airing,"Jan 6, 2017",,,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,"Action, Mystery, Supernatural",,1 hr. 22 min.,R - 17+ (violence & profanity)
Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,https://cdn.myanimelist.net/images/anime/1918/96303.jpg,8.781,41,72,89609,1345420,20967,9261,224452,1689709,33641,TV,13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019",Winter 2019,Mondays at 23,"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",Funimation,Bones,Web manga,"Action, Comedy, Supernatural",,24 min. per ep.,PG-13 - Teens 13 or older
Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,https://cdn.myanimelist.net/images/anime/3/45028.jpg,8.771,42,3026,5222,30393,1275,1395,26662,64947,3229,TV,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",Fall 1980,Unknown,Annapuru,"None found, add some",Tokyo Movie Shinsha,Manga,"Drama, Sports",Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,https://cdn.myanimelist.net/images/anime/7/81992.jpg,8.771,43,115,44591,1145876,8961,6459,99220,1305107,15908,TV,10,Finished Airing,"Oct 8, 2016 to Dec 10, 2016",Fall 2016,Saturdays at 01,"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Sentai Filmworks,Production I.G,Manga,,Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,https://cdn.myanimelist.net/images/anime/6/79597.jpg,8.771,44,44,29541,1804321,5071,2393,153529,1994855,34753,Movie,1,Finished Airing,"Jul 20, 2001",,,"Dentsu, TOHO, Tokuma Shoten, Tohokushinsha Film Corporation, Nippon Television Network, Mitsubishi","Disney Platform Distribution, GKIDS",Studio Ghibli,Original,"Adventure, Award Winning, Fantasy",,2 hr. 4 min.,PG - Children
Shingeki no Kyojin: The Final Season Part 2,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,https://cdn.myanimelist.net/images/anime/1948/120625.jpg,8.771,45,93,158460,1107441,18428,12543,210221,1507093,31920,TV,12,Finished Airing,"Jan 10, 2022 to Apr 4, 2022",Winter 2022,Mondays at 00,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises",Funimation,MAPPA,Manga,"Action, Drama, Suspense",Shounen,23 min. per ep.,R - 17+ (violence & profanity)
Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,https://cdn.myanimelist.net/images/anime/1500/103005.jpg,8.771,46,63,151475,1208369,44955,26075,327126,1758000,55357,TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,Mondays at 00,"Production I.G, Dentsu, Kodansha, Twin Engine",Sentai Filmworks,Wit Studio,Manga,"Action, Adventure, Drama",Seinen,24 min. per ep.,R - 17+ (violence & profanity)
Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,https://cdn.myanimelist.net/images/anime/1807/121534.jpg,8.761,47,324,46590,465370,21410,8583,168413,710366,24194,TV,26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013",Summer 2013,Sundays at 00,"Aniplex, Kodansha, Cyclone Graphics",Aniplex of America,Shaft,Light novel,"Comedy, Mystery, Romance, Supernatural",,25 min. per ep.,R - 17+ (violence & profanity)
Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,https://cdn.myanimelist.net/images/anime/4/19644.jpg,8.751,48,42,186671,1172009,114506,48142,497418,2018746,88309,TV,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Saturdays at 01,"Bandai Visual, Victor Entertainment, Audio Planning U",Funimation,Sunrise,Original,"Action, Award Winning, Sci-Fi",,24 min. per ep.,R - 17+ (violence & profanity)
Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,https://cdn.myanimelist.net/images/anime/1448/127956.jpg,8.741,49,299,64141,520578,14595,11434,140126,750874,35252,TV,12,Finished Airing,"Oct 9, 2022 to Dec 25, 2022",Fall 2022,Sundays at 00,"Aniplex, Houbunsha",Crunchyroll,CloverWorks,4-koma manga,,,23 min. per ep.,PG-13 - Teens 13 or older
Kingdom 4th Season,https://myanimelist.net/anime/50160/Kingdom_4th_Season,https://cdn.myanimelist.net/images/anime/1566/122794.jpg,8.731,50,2576,10908,45132,1332,912,27232,85516,1168,TV,26,Finished Airing,"Apr 10, 2022 to Oct 2, 2022",Spring 2022,Sundays at 00,"Avex Pictures, Shueisha, NHK Enterprises","None found, add some","Studio Pierrot, Studio Signpost",Manga,,Seinen,24 min. per ep.,R - 17+ (violence & profanity)
Kingdom 5th Season,https://myanimelist.net/anime/53223/Kingdom_5th_Season,https://cdn.myanimelist.net/images/anime/1050/139641.jpg,8.731,51,3233,5583,31439,653,509,19398,57582,602,TV,13,Finished Airing,"Jan 14, 2024 to Mar 31, 2024",Winter 2024,Sundays at 00,"Avex Pictures, Shueisha, Jinnan Studio, NHK Enterprises","None found, add some","Studio Pierrot, Studio Signpost",Manga,,Seinen,24 min. per ep.,R - 17+ (violence & profanity)
One Piece,https://myanimelist.net/anime/21/One_Piece,https://cdn.myanimelist.net/images/anime/1244/138851.jpg,8.731,52,17,1860415,21,312309,208938,230325,2612008,246363,TV,0,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,Sundays at 23,"Fuji TV, TAP","Funimation, 4Kids Entertainment",Toei Animation,Manga,"Action, Adventure, Fantasy",Shounen,24 min.,PG-13 - Teens 13 or older
Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,https://cdn.myanimelist.net/images/anime/1792/138022.jpg,8.721,53,117,182096,909921,18544,10682,176279,1297522,25306,TV,23,Finished Airing,"Jul 6, 2023 to Dec 28, 2023",Summer 2023,Thursdays at 23,"Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap",Crunchyroll,MAPPA,Manga,"Action, Supernatural",Shounen,23 min. per ep.,R - 17+ (violence & profanity)
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,https://cdn.myanimelist.net/images/anime/1670/130060.jpg,8.721,54,752,12466,257006,2524,965,82707,355668,2272,Movie,1,Finished Airing,"Dec 17, 2022",,,"Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,"Comedy, Drama, Romance",Seinen,1 hr. 36 min.,PG-13 - Teens 13 or older
Mushishi Zoku Shou 2nd Season,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,https://cdn.myanimelist.net/images/anime/9/68095.jpg,8.721,55,941,17372,145687,6987,3661,114904,288611,1571,TV,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",Fall 2014,Sundays at 00,"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural",Seinen,23 min. per ep.,PG-13 - Teens 13 or older
