rank,title,score,url,thumbnail
46,Vinland Saga,8.77,https://myanimelist.net/anime/37521/Vinland_Saga,https://cdn.myanimelist.net/r/50x70/images/anime/1500/103005.jpg?s=b21dbd168612f531ce4eec9bd53e272b
47,Monogatari Series: Second Season,8.76,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1807/121534.jpg?s=2f42455822fc348ba1fd6c50e94fcce1
48,Cowboy Bebop,8.75,https://myanimelist.net/anime/1/Cowboy_Bebop,https://cdn.myanimelist.net/r/50x70/images/anime/4/19644.jpg?s=bb1e96eb0a0224a57aa45443eab92575
49,Bocchi the Rock!,8.74,https://myanimelist.net/anime/47917/Bocchi_the_Rock,https://cdn.myanimelist.net/r/50x70/images/anime/1448/127956.jpg?s=81e0f14a54c27c6d8046fced1a046f28
50,Kingdom 4th Season,8.73,https://myanimelist.net/anime/50160/Kingdom_4th_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1566/122794.jpg?s=1dd290c4b0bc3df1083c456064109e2f
51,Kingdom 5th Season,8.73,https://myanimelist.net/anime/53223/Kingdom_5th_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1050/139641.jpg?s=edc6b0cc29e6591c871151e086956ffe
52,One Piece,8.73,https://myanimelist.net/anime/21/One_Piece,https://cdn.myanimelist.net/r/50x70/images/anime/1244/138851.jpg?s=3a515a0e3bc695b2ea62db2fa26c53b3
53,Jujutsu Kaisen 2nd Season,8.72,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1792/138022.jpg?s=1f89c1e9b9bf47ab767f075edf5d313f
54,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.72,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,https://cdn.myanimelist.net/r/50x70/images/anime/1670/130060.jpg?s=d6b458f3a59a4c5ae4a2ee526feb690f
55,Mushishi Zoku Shou 2nd Season,8.72,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/9/68095.jpg?s=6025adedafce15a9d2c9363e225241ba
56,Shiguang Dailiren,8.72,https://myanimelist.net/anime/44074/Shiguang_Dailiren,https://cdn.myanimelist.net/r/50x70/images/anime/1135/114867.jpg?s=048f06f7edb150d017394574a108c72c
57,Tu Bian Yingxiong X,8.72,https://myanimelist.net/anime/53447/Tu_Bian_Yingxiong_X,https://cdn.myanimelist.net/r/50x70/images/anime/1492/150628.jpg?s=400d6c887b16b292344d135aa1aa5509
58,86 Part 2,8.72,https://myanimelist.net/anime/48569/86_Part_2,https://cdn.myanimelist.net/r/50x70/images/anime/1321/117508.jpg?s=c65bc9967a249eb362a1e037e13ebd73
59,Hibike! Euphonium 3,8.72,https://myanimelist.net/anime/39894/Hibike_Euphonium_3,https://cdn.myanimelist.net/r/50x70/images/anime/1216/142086.jpg?s=26c534e78f02d1ccab1c382949b8ebcb
60,Boku no Kokoro no Yabai Yatsu 2nd Season,8.71,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1643/138581.jpg?s=44e3cfbc795b7cb68144fecf98b6cff0
61,Code Geass: Hangyaku no Lelouch,8.71,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,https://cdn.myanimelist.net/r/50x70/images/anime/1032/135088.jpg?s=b67496ea440a61c0d7ac14173e0bd6e0
62,Mob Psycho 100 III,8.71,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,https://cdn.myanimelist.net/r/50x70/images/anime/1228/125011.jpg?s=33cd9099a0ad56c9d80989ca0e1cc2ec
63,The First Slam Dunk,8.71,https://myanimelist.net/anime/45649/The_First_Slam_Dunk,https://cdn.myanimelist.net/r/50x70/images/anime/1745/129284.jpg?s=0a4aa56dd7a19b280e4cdd09aaad81a6
64,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.7,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,https://cdn.myanimelist.net/r/50x70/images/anime/1493/124765.jpg?s=5c92c94e226dfebfaa8031696c27754f
65,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.7,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,https://cdn.myanimelist.net/r/50x70/images/anime/1164/138058.jpg?s=101a025f33ee0575a6a5a5e500e3d3c6
66,Chi. Chikyuu no Undou ni Tsuite,8.7,https://myanimelist.net/anime/52215/Chi_Chikyuu_no_Undou_ni_Tsuite,https://cdn.myanimelist.net/r/50x70/images/anime/1749/145922.jpg?s=e803c3237ace8ea7c4057783e8795042
67,Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,8.7,https://myanimelist.net/anime/59192/Kimetsu_no_Yaiba_Movie_1__Mugenjou-hen_-_Akaza_Sairai,https://cdn.myanimelist.net/r/50x70/images/anime/1681/148216.jpg?s=47543b1bf08c567c18a98c72e8b144ee
68,Kimetsu no Yaiba: Yuukaku-hen,8.7,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,https://cdn.myanimelist.net/r/50x70/images/anime/1908/120036.jpg?s=34065463bac342e6efe8bfdbed5d24de
69,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.69,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,https://cdn.myanimelist.net/r/50x70/images/anime/1656/137618.jpg?s=95e513e30f17490549e9608f8f7672e3
70,Uma Musume: Cinderella Gray Part 2,8.69,https://myanimelist.net/anime/61930/Uma_Musume__Cinderella_Gray_Part_2,https://cdn.myanimelist.net/r/50x70/images/anime/1120/152280.jpg?s=aaedd4b1df30af2d81717e3e96a2b2c8
71,Violet Evergarden,8.69,https://myanimelist.net/anime/33352/Violet_Evergarden,https://cdn.myanimelist.net/r/50x70/images/anime/1795/95088.jpg?s=9e24a139603a4e0ea8ea055a230b54d5
72,Great Teacher Onizuka,8.68,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,https://cdn.myanimelist.net/r/50x70/images/anime/13/11460.jpg?s=7e890b7e93b7b57c2de4aa90211931bd
73,Mo Dao Zu Shi: Wanjie Pian,8.68,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,https://cdn.myanimelist.net/r/50x70/images/anime/1634/116782.jpg?s=f3e813705fd0d84678835c9f3d36f3dd
74,Mushishi Zoku Shou,8.68,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,https://cdn.myanimelist.net/r/50x70/images/anime/13/58533.jpg?s=ff40f900ea0877725ccde517b126c531
75,Mononoke Hime,8.67,https://myanimelist.net/anime/164/Mononoke_Hime,https://cdn.myanimelist.net/r/50x70/images/anime/1355/147277.jpg?s=3aa0f003bbf26027744c9c0f3c0ad532
76,Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,https://myanimelist.net/anime/56784/Bleach__Sennen_Kessen-hen_-_Soukoku-tan,https://cdn.myanimelist.net/r/50x70/images/anime/1595/144074.jpg?s=dfe8b494baf8f7c65cab600950b20d0d
77,Hajime no Ippo: New Challenger,8.67,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,https://cdn.myanimelist.net/r/50x70/images/anime/8/56617.jpg?s=4c8a3a8180c114c3771eb183e5318a0e
78,Howl no Ugoku Shiro,8.67,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,https://cdn.myanimelist.net/r/50x70/images/anime/1470/138723.jpg?s=d13efbbaed502aeb220700a4015f287a
79,Monogatari Series: Off & Monster Season,8.65,https://myanimelist.net/anime/57864/Monogatari_Series__Off___Monster_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1142/146776.jpg?s=bec07fa967d3e9cf473c1f5532057e9a
80,Mushishi,8.65,https://myanimelist.net/anime/457/Mushishi,https://cdn.myanimelist.net/r/50x70/images/anime/2/73862.jpg?s=d976f75f480430a0c9fde4455696131d
81,Tian Guan Cifu Er,8.65,https://myanimelist.net/anime/50399/Tian_Guan_Cifu_Er,https://cdn.myanimelist.net/r/50x70/images/anime/1203/139210.jpg?s=a4afe2fd566288b7e257b693a6f5a1bf
82,Shigatsu wa Kimi no Uso,8.64,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,https://cdn.myanimelist.net/r/50x70/images/anime/1405/143284.jpg?s=d41b122af560902ea8409b2854b6196b
83,Shiguang Dailiren II,8.64,https://myanimelist.net/anime/49413/Shiguang_Dailiren_II,https://cdn.myanimelist.net/r/50x70/images/anime/1897/137108.jpg?s=c1dcfed9333a84bd827eaf17d045d817
84,Shingeki no Kyojin Season 3,8.64,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,https://cdn.myanimelist.net/r/50x70/images/anime/1173/92110.jpg?s=410d006fea0608544e9861a6f261c692
85,Tengen Toppa Gurren Lagann,8.64,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,https://cdn.myanimelist.net/r/50x70/images/anime/4/5123.jpg?s=15bb64e0c8b13acfa5d0761308b66f59
86,Uma Musume: Pretty Derby - Shin Jidai no Tobira,8.64,https://myanimelist.net/anime/57647/Uma_Musume__Pretty_Derby_-_Shin_Jidai_no_Tobira,https://cdn.myanimelist.net/r/50x70/images/anime/1427/142210.jpg?s=7c180cf93281f2598d2c110813fbe283
87,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.64,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,https://cdn.myanimelist.net/r/50x70/images/anime/1142/112957.jpg?s=f0984cb6fcb8188ce26035b0b56de828
88,Guimi Zhi Zhu: Xiaochou Pian,8.64,https://myanimelist.net/anime/49818/Guimi_Zhi_Zhu__Xiaochou_Pian,https://cdn.myanimelist.net/r/50x70/images/anime/1952/149229.jpg?s=3f69705b6c28bb0dab26bfedbc5129e6
89,Look Back,8.63,https://myanimelist.net/anime/58125/Look_Back,https://cdn.myanimelist.net/r/50x70/images/anime/1716/142633.jpg?s=64bdb1ed816cefbb343fbe11bb7651cf
90,Made in Abyss,8.63,https://myanimelist.net/anime/34599/Made_in_Abyss,https://cdn.myanimelist.net/r/50x70/images/anime/6/86733.jpg?s=56ac623880ec87f3a0197e0391bc12c3
91,Natsume Yuujinchou Shi,8.63,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,https://cdn.myanimelist.net/r/50x70/images/anime/3/37449.jpg?s=2bb045b3120e6a3a23257bb39689ae30
92,Odd Taxi,8.63,https://myanimelist.net/anime/46102/Odd_Taxi,https://cdn.myanimelist.net/r/50x70/images/anime/1981/113348.jpg?s=38082dbb5a64de5fc2129a59c46c3fe0
93,Ping Pong the Animation,8.63,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,https://cdn.myanimelist.net/r/50x70/images/anime/1586/146565.jpg?s=8a68d935e9567258aa9191c07a674d81
94,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,https://cdn.myanimelist.net/r/50x70/images/anime/1764/106659.jpg?s=aab19d0f19e345e223dc26542ac3a28f
95,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.62,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,https://cdn.myanimelist.net/r/50x70/images/anime/1028/117777.jpg?s=99ecca20cac2345fc956fda60a5e025f
96,Cyberpunk: Edgerunners,8.62,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,https://cdn.myanimelist.net/r/50x70/images/anime/1818/126435.jpg?s=7b294f04000f9e4b59fdae558b4b4936
97,Death Note,8.62,https://myanimelist.net/anime/1535/Death_Note,https://cdn.myanimelist.net/r/50x70/images/anime/1079/138100.jpg?s=3e4bd9dab3fbb90bff74e3240e281d23
98,Haikyuu!! Second Season,8.62,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,https://cdn.myanimelist.net/r/50x70/images/anime/9/76662.jpg?s=06ccfffc7b27ac5532d268b9934a224a
99,Bungou Stray Dogs 5th Season,8.61,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1161/136691.jpg?s=7ede85a9ff76ae61cacf9b3320ccc512
100,Haikyuu!! Movie: Gomisuteba no Kessen,8.61,https://myanimelist.net/anime/52742/Haikyuu_Movie__Gomisuteba_no_Kessen,https://cdn.myanimelist.net/r/50x70/images/anime/1665/140360.jpg?s=081754725b2361e973387318974b4d0f
101,Hajime no Ippo: Rising,8.61,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,https://cdn.myanimelist.net/r/50x70/images/anime/6/56147.jpg?s=7e50339d044aed8909d36bb9afa331d3
102,Kaoru Hana wa Rin to Saku,8.61,https://myanimelist.net/anime/59845/Kaoru_Hana_wa_Rin_to_Saku,https://cdn.myanimelist.net/r/50x70/images/anime/1744/150433.jpg?s=2bebabe8ed1922b32e27a5ade5b6151d
103,Kenpuu Denki Berserk,8.61,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,https://cdn.myanimelist.net/r/50x70/images/anime/1384/119988.jpg?s=9260c7baa7b55d81d9f6375b55a803e6
104,Natsume Yuujinchou Roku,8.61,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,https://cdn.myanimelist.net/r/50x70/images/anime/6/84416.jpg?s=931f8a6bfc42adf9257eeb7641bad75e
105,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.61,https://myanimelist.net/anime/58567/Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow,https://cdn.myanimelist.net/r/50x70/images/anime/1448/147351.jpg?s=bb8df982cc7ca8fd56d744e9f06f0c16
106,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.6,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,https://cdn.myanimelist.net/r/50x70/images/anime/1803/117183.jpg?s=895e947ae2a13e1d4d7de7d8dbac5831
107,Made in Abyss: Retsujitsu no Ougonkyou,8.6,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,https://cdn.myanimelist.net/r/50x70/images/anime/1864/122519.jpg?s=17612a9ecb307994db4ced0a85774a37
108,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.6,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,https://cdn.myanimelist.net/r/50x70/images/anime/12/19698.jpg?s=1be69978bb463a9b8284565cbf1bfb2f
109,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,https://cdn.myanimelist.net/r/50x70/images/anime/1613/102179.jpg?s=9b762a892eac987081bada93be8d3bdc
110,Suzumiya Haruhi no Shoushitsu,8.59,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,https://cdn.myanimelist.net/r/50x70/images/anime/1248/112352.jpg?s=e62fda44bb62e1b938570096c39f9d05
111,Dungeon Meshi,8.59,https://myanimelist.net/anime/52701/Dungeon_Meshi,https://cdn.myanimelist.net/r/50x70/images/anime/1711/142478.jpg?s=8c432fe78ec9dd1b3219f3c5faf4308f
112,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,https://cdn.myanimelist.net/r/50x70/images/anime/1882/94989.jpg?s=61b54b3c97ea012fcb7a7b4dd4d2a497
113,Mushishi Zoku Shou: Suzu no Shizuku,8.58,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,https://cdn.myanimelist.net/r/50x70/images/anime/9/72689.jpg?s=58cb067cc48352b42e376589c0b4dfcc
114,Natsume Yuujinchou Shichi,8.58,https://myanimelist.net/anime/55823/Natsume_Yuujinchou_Shichi,https://cdn.myanimelist.net/r/50x70/images/anime/1270/145168.jpg?s=3b0fa15afccbf18fc78891693ce68e78
115,Shin Evangelion Movie:||,8.58,https://myanimelist.net/anime/3786/Shin_Evangelion_Movie_||,https://cdn.myanimelist.net/r/50x70/images/anime/1422/113533.jpg?s=1e4f4aa0e597b1c1f082779ab9baa2fc
116,Shingeki no Kyojin,8.57,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,https://cdn.myanimelist.net/r/50x70/images/anime/10/47347.jpg?s=29949c6e892df123f0b0563e836d3d98
117,Uma Musume: Cinderella Gray,8.57,https://myanimelist.net/anime/59636/Uma_Musume__Cinderella_Gray,https://cdn.myanimelist.net/r/50x70/images/anime/1626/148097.jpg?s=d2460270090e870687a75581eb4a7832
118,Nana,8.57,https://myanimelist.net/anime/877/Nana,https://cdn.myanimelist.net/r/50x70/images/anime/2/11232.jpg?s=fdcbc61fd7e6407fe3810192a1684acd
