rank,title,score,url,thumbnail
2135,Sand Land: The Series,7.48,https://myanimelist.net/anime/57160/Sand_Land__The_Series,https://cdn.myanimelist.net/r/50x70/images/anime/1004/142114.jpg?s=372045376632abcc761681b7c102f70d
2136,Sengoku Basara Ni,7.48,https://myanimelist.net/anime/6634/Sengoku_Basara_Ni,https://cdn.myanimelist.net/r/50x70/images/anime/6/80999.jpg?s=13d2ea8a89f6f535ca699a0f5d27aafc
2137,Tensei shitara Slime Datta Ken OVA,7.48,https://myanimelist.net/anime/38793/Tensei_shitara_Slime_Datta_Ken_OVA,https://cdn.myanimelist.net/r/50x70/images/anime/1230/118297.jpg?s=87261fad288208aa8bc3a45163ea6a23
2138,Voy@ger,7.48,https://myanimelist.net/anime/49661/Voyger,https://cdn.myanimelist.net/r/50x70/images/anime/1280/142023.jpg?s=e95c484406b8f2021c38b4b4aebde9d7
2139,Xingchen Bian 3rd Season,7.48,https://myanimelist.net/anime/49386/Xingchen_Bian_3rd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1676/117014.jpg?s=e6365ceb8a1343e03d05672c0e0a8bb9
2140,Ranma ½: Akumu! Shunmin Kou,7.47,https://myanimelist.net/anime/5493/Ranma_½__Akumu_Shunmin_Kou,https://cdn.myanimelist.net/r/50x70/images/anime/10/63469.jpg?s=cbe0606ab6c3ed2270c1c9acfd4dfa8c
2141,Ryuu to Sobakasu no Hime,7.47,https://myanimelist.net/anime/44807/Ryuu_to_Sobakasu_no_Hime,https://cdn.myanimelist.net/r/50x70/images/anime/1081/115716.jpg?s=3b9f5abc6f02b45cef10f84dc7812deb
2142,Saenai Heroine no Sodatekata,7.47,https://myanimelist.net/anime/23277/Saenai_Heroine_no_Sodatekata,https://cdn.myanimelist.net/r/50x70/images/anime/1329/142757.jpg?s=6145191571630a85d3bf604f49a0f085
2143,Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,7.47,https://myanimelist.net/anime/59846/Saigo_ni_Hitotsu_dake_Onegai_shitemo_Yoroshii_deshou_ka,https://cdn.myanimelist.net/r/50x70/images/anime/1190/151754.jpg?s=f28eac752b5f46386c63ff0cad6c5f62
2144,Saint☆Oniisan,7.47,https://myanimelist.net/anime/15775/Saint☆Oniisan,https://cdn.myanimelist.net/r/50x70/images/anime/1676/150182.jpg?s=4aadd92cd09f31807d0d3cbb768b6942
2145,Senki Zesshou Symphogear G,7.47,https://myanimelist.net/anime/15793/Senki_Zesshou_Symphogear_G,https://cdn.myanimelist.net/r/50x70/images/anime/2/86630.jpg?s=d212c92664ca5acf26bb357d207110c2
2146,Shin Tennis no Oujisama Specials,7.47,https://myanimelist.net/anime/13245/Shin_Tennis_no_Oujisama_Specials,https://cdn.myanimelist.net/r/50x70/images/anime/7/39891.jpg?s=e644c2f0bc7209b5b84ffffb1a448adf
2147,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,7.47,https://myanimelist.net/anime/38659/Shinchou_Yuusha__Kono_Yuusha_ga_Ore_Tueee_Kuse_ni_Shinchou_Sugiru,https://cdn.myanimelist.net/r/50x70/images/anime/1715/103419.jpg?s=e9b670d40bfd3d1f9074a382bcc7d781
2148,Shine Post,7.47,https://myanimelist.net/anime/50221/Shine_Post,https://cdn.myanimelist.net/r/50x70/images/anime/1976/123710.jpg?s=0575c35b3c763a0ad074d8f1381e35e3
2149,Shinryaku!! Ika Musume,7.47,https://myanimelist.net/anime/13267/Shinryaku_Ika_Musume,https://cdn.myanimelist.net/r/50x70/images/anime/4/39055.jpg?s=e5f96c55293fc7fb798ba60efca4da21
2150,Shinryaku!? Ika Musume,7.47,https://myanimelist.net/anime/10378/Shinryaku_Ika_Musume,https://cdn.myanimelist.net/r/50x70/images/anime/6/30120.jpg?s=e13a319bb4081f67556702318109c1b1
2151,Sora no Aosa wo Shiru Hito yo,7.47,https://myanimelist.net/anime/39569/Sora_no_Aosa_wo_Shiru_Hito_yo,https://cdn.myanimelist.net/r/50x70/images/anime/1468/102527.jpg?s=4f8ec3200cfdb1bfc581922af23f4cb3
2152,"Suteki desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!",7.47,https://myanimelist.net/anime/2424/Suteki_desu_wa_Sakura-chan_Tomoyo_no_Cardcaptor_Sakura_Katsuyaku_Video_Nikki,https://cdn.myanimelist.net/r/50x70/images/anime/10/68205.jpg?s=1dcecddfbef9d85d6f5108d54a5ac273
2153,Tasogare Out Focus,7.47,https://myanimelist.net/anime/55844/Tasogare_Out_Focus,https://cdn.myanimelist.net/r/50x70/images/anime/1708/142119.jpg?s=7c54b05dc85eed114fe3083b146f36a1
2154,Wanmei Shijie Movie: Huo Zhi Huijin,7.47,https://myanimelist.net/anime/58797/Wanmei_Shijie_Movie__Huo_Zhi_Huijin,https://cdn.myanimelist.net/r/50x70/images/anime/1730/145386.jpg?s=6d4c319a7fd3d87d4d2b6b5ae33766f6
2155,Xue Ying Ling Zhu 2nd Season,7.47,https://myanimelist.net/anime/45599/Xue_Ying_Ling_Zhu_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1270/138692.jpg?s=b25d7524f8ae349a4d9c310f133ca7c9
2156,Yu☆Gi☆Oh! 5D's,7.47,https://myanimelist.net/anime/3972/Yu☆Gi☆Oh_5Ds,https://cdn.myanimelist.net/r/50x70/images/anime/1667/103658.jpg?s=f6ae763bd834101413b90b3b6c05a050
2157,Yuru Camp△ Season 2 Specials,7.47,https://myanimelist.net/anime/49026/Yuru_Camp△_Season_2_Specials,https://cdn.myanimelist.net/r/50x70/images/anime/1542/115070.jpg?s=ad5ee7fc820a20e15f11db0aa0384439
2158,Acchi Kocchi,7.47,https://myanimelist.net/anime/12291/Acchi_Kocchi,https://cdn.myanimelist.net/r/50x70/images/anime/5/46489.jpg?s=25903daa7e5cfb8240a96069a2deaaec
2159,Angel Densetsu,7.47,https://myanimelist.net/anime/5251/Angel_Densetsu,https://cdn.myanimelist.net/r/50x70/images/anime/4/27104.jpg?s=81cdbe093ce83b963630d2b2b6ca45a7
2160,Ani ni Tsukeru Kusuri wa Nai!,7.47,https://myanimelist.net/anime/35015/Ani_ni_Tsukeru_Kusuri_wa_Nai,https://cdn.myanimelist.net/r/50x70/images/anime/1896/129202.jpg?s=0964b98d52d34eb61c8fba6c11ffecb9
2161,Ao no Exorcist,7.47,https://myanimelist.net/anime/9919/Ao_no_Exorcist,https://cdn.myanimelist.net/r/50x70/images/anime/10/75195.jpg?s=c2bb5ebd6f79c4ae21272da8215d189f
2162,Area 88,7.47,https://myanimelist.net/anime/1488/Area_88,https://cdn.myanimelist.net/r/50x70/images/anime/11/2856.jpg?s=796d7660aab339d70691045ba4ea8621
2163,Bai She II: Qing She Jie Qi,7.47,https://myanimelist.net/anime/49409/Bai_She_II__Qing_She_Jie_Qi,https://cdn.myanimelist.net/r/50x70/images/anime/1906/131996.jpg?s=f5ea64505119b11d3941cf53c17d59b9
2164,Birdie Wing: Golf Girls' Story,7.47,https://myanimelist.net/anime/50248/Birdie_Wing__Golf_Girls_Story,https://cdn.myanimelist.net/r/50x70/images/anime/1343/120488.jpg?s=4298001dd9cc0f678cd68ed6769ec2b3
2165,Captain Tsubasa: Road to 2002,7.47,https://myanimelist.net/anime/1614/Captain_Tsubasa__Road_to_2002,https://cdn.myanimelist.net/r/50x70/images/anime/5/75526.jpg?s=235d18fddef8a5915e282f1b3f64a9a0
2166,City Hunter Movie: Shinjuku Private Eyes,7.47,https://myanimelist.net/anime/37516/City_Hunter_Movie__Shinjuku_Private_Eyes,https://cdn.myanimelist.net/r/50x70/images/anime/1416/97388.jpg?s=50dcb36f0c7ee747751f095297973324
2167,Da Yu Hai Tang (Movie),7.47,https://myanimelist.net/anime/10259/Da_Yu_Hai_Tang_Movie,https://cdn.myanimelist.net/r/50x70/images/anime/5/83826.jpg?s=7f9298247274761efd73263be0ca8cac
2168,Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,7.47,https://myanimelist.net/anime/35823/Demi-chan_wa_Kataritai__Demi-chan_no_Natsuyasumi,https://cdn.myanimelist.net/r/50x70/images/anime/6/88769.jpg?s=0115ee8b21471b61ca092061ea387bc0
2169,Denpa-teki na Kanojo,7.47,https://myanimelist.net/anime/5177/Denpa-teki_na_Kanojo,https://cdn.myanimelist.net/r/50x70/images/anime/1722/111810.jpg?s=f1c5014583874be204dec175e12f0332
2170,Dragon Ball Super,7.47,https://myanimelist.net/anime/30694/Dragon_Ball_Super,https://cdn.myanimelist.net/r/50x70/images/anime/7/74606.jpg?s=45a02b9bcc08d906381a086129f6a0f5
2171,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,7.47,https://myanimelist.net/anime/31389/Fate_stay_night__Unlimited_Blade_Works_2nd_Season_-_Sunny_Day,https://cdn.myanimelist.net/r/50x70/images/anime/4/75684.jpg?s=19b47be7324010fa26a926286a669d11
2172,"Food Court de, Mata Ashita.",7.47,https://myanimelist.net/anime/60508/Food_Court_de_Mata_Ashita,https://cdn.myanimelist.net/r/50x70/images/anime/1039/150572.jpg?s=9721f506c5d4b660328c4507658fa5a6
2173,Furiko,7.47,https://myanimelist.net/anime/13629/Furiko,https://cdn.myanimelist.net/r/50x70/images/anime/2/68985.jpg?s=52813bcd05ecaacd40e6119de8756508
2174,Future GPX Cyber Formula Sin,7.47,https://myanimelist.net/anime/1395/Future_GPX_Cyber_Formula_Sin,https://cdn.myanimelist.net/r/50x70/images/anime/6/29342.jpg?s=8b14b24f11e287897d7a51b2a51848d6
2175,Gundam Build Divers Re:Rise 2nd Season,7.47,https://myanimelist.net/anime/40942/Gundam_Build_Divers_Re_Rise_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1962/105909.jpg?s=c1c26f59628d4e063829f72e043a7035
2176,Haha wo Tazunete Sanzenri,7.47,https://myanimelist.net/anime/1663/Haha_wo_Tazunete_Sanzenri,https://cdn.myanimelist.net/r/50x70/images/anime/9/80523.jpg?s=e4449d056488def8b3999c5571545e2a
2177,Hitoribocchi no Marumaru Seikatsu,7.47,https://myanimelist.net/anime/37614/Hitoribocchi_no_Marumaru_Seikatsu,https://cdn.myanimelist.net/r/50x70/images/anime/1612/145601.jpg?s=7cddb11a6906104fa369bbab21613e9b
2178,Hokuto no Ken Zero: Kenshirou Den,7.47,https://myanimelist.net/anime/5291/Hokuto_no_Ken_Zero__Kenshirou_Den,https://cdn.myanimelist.net/r/50x70/images/anime/1513/145143.jpg?s=6206c69b3bc57bf5402c58156c9cc52d
2179,KanColle Movie,7.47,https://myanimelist.net/anime/31418/KanColle_Movie,https://cdn.myanimelist.net/r/50x70/images/anime/7/87590.jpg?s=d7773a3d8327bfd50a2d0311731f5156
2180,Koi wa Ameagari no You ni,7.47,https://myanimelist.net/anime/34984/Koi_wa_Ameagari_no_You_ni,https://cdn.myanimelist.net/r/50x70/images/anime/1271/90136.jpg?s=d60e04d3ec0cce1c56f8d2e93f00e4e8
2181,Konohana Kitan,7.47,https://myanimelist.net/anime/35241/Konohana_Kitan,https://cdn.myanimelist.net/r/50x70/images/anime/3/88431.jpg?s=c05685242fde2be7e07b68c03eef47b4
2182,Kore wa Zombie desu ka? of the Dead,7.47,https://myanimelist.net/anime/10790/Kore_wa_Zombie_desu_ka_of_the_Dead,https://cdn.myanimelist.net/r/50x70/images/anime/4/37451.jpg?s=89ed8b08d2cde72666fc6f632a940d39
2183,Lady Jewelpet,7.47,https://myanimelist.net/anime/22693/Lady_Jewelpet,https://cdn.myanimelist.net/r/50x70/images/anime/4/73960.jpg?s=0c574dd1b815fcde0e21168ac6d25462
2184,Love Live! Nijigasaki Gakuen School Idol Doukoukai,7.47,https://myanimelist.net/anime/40879/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai,https://cdn.myanimelist.net/r/50x70/images/anime/1393/109203.jpg?s=73f1351a2142a0c8015701e018599d0c
2185,Macross Zero,7.47,https://myanimelist.net/anime/194/Macross_Zero,https://cdn.myanimelist.net/r/50x70/images/anime/12/76289.jpg?s=744bb8e340417405baed5eb671c4ea50
2186,Motto! Ojamajo Doremi,7.47,https://myanimelist.net/anime/352/Motto_Ojamajo_Doremi,https://cdn.myanimelist.net/r/50x70/images/anime/5/36629.jpg?s=9c2ddbaf5d0986d2b1f31d493730e22d
2187,Ojamajo Doremi Sharp,7.47,https://myanimelist.net/anime/351/Ojamajo_Doremi_Sharp,https://cdn.myanimelist.net/r/50x70/images/anime/1215/121240.jpg?s=a02c74cc4bf76ea5b0d54d31510a0eee
2188,Overtake!,7.47,https://myanimelist.net/anime/54301/Overtake,https://cdn.myanimelist.net/r/50x70/images/anime/1487/139955.jpg?s=7e4dd675337167d4e8ff3abe67a15e15
2189,Isekai Quartet Movie: Another World,7.46,https://myanimelist.net/anime/41567/Isekai_Quartet_Movie__Another_World,https://cdn.myanimelist.net/r/50x70/images/anime/1222/122000.jpg?s=74ec56a38ba01044c7cb3851ebd40de7
2190,Jashin-chan Dropkick',7.46,https://myanimelist.net/anime/39049/Jashin-chan_Dropkick,https://cdn.myanimelist.net/r/50x70/images/anime/1646/111421.jpg?s=2ecfc06524fcd5f0b25c8607129d7c53
2191,Kamikaze Kaitou Jeanne,7.46,https://myanimelist.net/anime/142/Kamikaze_Kaitou_Jeanne,https://cdn.myanimelist.net/r/50x70/images/anime/5/20389.jpg?s=f6135ba7c9174b82691e3c0c62cb3c8b
2192,Kamisama no Memochou,7.46,https://myanimelist.net/anime/10568/Kamisama_no_Memochou,https://cdn.myanimelist.net/r/50x70/images/anime/13/75202.jpg?s=9760e411f4b4d025ae1088f0f5bc0ef1
2193,Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,7.46,https://myanimelist.net/anime/19191/Koukaku_Kidoutai_Arise__Ghost_in_the_Shell_-_Border_2_Ghost_Whispers,https://cdn.myanimelist.net/r/50x70/images/anime/8/52135.jpg?s=3cf8e11a5427d5b9d04d7fb4ff6736ce
2194,Koupen-chan,7.46,https://myanimelist.net/anime/60534/Koupen-chan,https://cdn.myanimelist.net/r/50x70/images/anime/1533/146981.jpg?s=fdfbd64490722a62993a20ee9d932875
2195,Kyoukaisenjou no Horizon II,7.46,https://myanimelist.net/anime/12487/Kyoukaisenjou_no_Horizon_II,https://cdn.myanimelist.net/r/50x70/images/anime/6/38227.jpg?s=304d7f138b215ba04730212a70df8328
2196,Major 2nd 2nd Season,7.46,https://myanimelist.net/anime/40504/Major_2nd_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1025/105319.jpg?s=40337c0b23d46e94338eea165e45aa67
2197,Miira no Kaikata,7.46,https://myanimelist.net/anime/35828/Miira_no_Kaikata,https://cdn.myanimelist.net/r/50x70/images/anime/1486/93811.jpg?s=d31ef21db065c1cd95115f19d29d23ae
2198,Naruto: Shippuuden Movie 5 - Blood Prison,7.46,https://myanimelist.net/anime/10589/Naruto__Shippuuden_Movie_5_-_Blood_Prison,https://cdn.myanimelist.net/r/50x70/images/anime/1500/134496.jpg?s=169e7a2c20e9f51bf7fb9da5475252c0
2199,New Initial D Movie: Battle Digest,7.46,https://myanimelist.net/anime/50846/New_Initial_D_Movie__Battle_Digest,https://cdn.myanimelist.net/r/50x70/images/anime/1207/120556.jpg?s=a0bbabb8f469388242d69e8439aaab43
2200,Orange: Mirai,7.46,https://myanimelist.net/anime/34136/Orange__Mirai,https://cdn.myanimelist.net/r/50x70/images/anime/10/82129.jpg?s=f1ce8b5c451ad46d581af8cb5d4829a5
2201,Pokemon Concierge Part 2,7.46,https://myanimelist.net/anime/58953/Pokemon_Concierge_Part_2,https://cdn.myanimelist.net/r/50x70/images/anime/1873/148170.jpg?s=a176528b0f5e834e6612a1d0f1d3d745
2202,Pokemon XY,7.46,https://myanimelist.net/anime/19291/Pokemon_XY,https://cdn.myanimelist.net/r/50x70/images/anime/1759/140263.jpg?s=7e683c6142ee6a0eac0045772675f938
2203,Psycho-Pass: Sinners of the System Case.2 - First Guardian,7.46,https://myanimelist.net/anime/37441/Psycho-Pass__Sinners_of_the_System_Case2_-_First_Guardian,https://cdn.myanimelist.net/r/50x70/images/anime/1357/96879.jpg?s=d04660e3c16482f3b93c476988a185e2
2204,Sarazanmai,7.46,https://myanimelist.net/anime/37426/Sarazanmai,https://cdn.myanimelist.net/r/50x70/images/anime/1159/100455.jpg?s=174d06b4c8cb4336cde2637522d3c674
2205,Sayonara Zetsubou Sensei Special,7.46,https://myanimelist.net/anime/10469/Sayonara_Zetsubou_Sensei_Special,https://cdn.myanimelist.net/r/50x70/images/anime/12/75518.jpg?s=0e41b6a3397400edcf9bb7933a95bf0e
2206,Sekaiichi Hatsukoi: Propose-hen,7.46,https://myanimelist.net/anime/40314/Sekaiichi_Hatsukoi__Propose-hen,https://cdn.myanimelist.net/r/50x70/images/anime/1896/102829.jpg?s=8d050b01b1471315353a0a5aac6137be
2207,Soredemo Machi wa Mawatteiru,7.46,https://myanimelist.net/anime/8726/Soredemo_Machi_wa_Mawatteiru,https://cdn.myanimelist.net/r/50x70/images/anime/9/25880.jpg?s=0affc8b902db38eea250f962c4a6b3a4
2208,Taiho Shichau zo,7.46,https://myanimelist.net/anime/1577/Taiho_Shichau_zo,https://cdn.myanimelist.net/r/50x70/images/anime/1498/97153.jpg?s=b7f372c2fac114441a05b66e1ec9549c
2209,Tensei Oujo to Tensai Reijou no Mahou Kakumei,7.46,https://myanimelist.net/anime/52736/Tensei_Oujo_to_Tensai_Reijou_no_Mahou_Kakumei,https://cdn.myanimelist.net/r/50x70/images/anime/1053/129004.jpg?s=8d974c8b45a6b65575c896973f4c6844
2210,Tonikaku Kawaii: Kaisou,7.46,https://myanimelist.net/anime/45598/Tonikaku_Kawaii__Kaisou,https://cdn.myanimelist.net/r/50x70/images/anime/1980/110984.jpg?s=66159f3dd893661313d3a4fd7bafd82a
2211,Towa no Quon 5: Souzetsu no Raifuku,7.46,https://myanimelist.net/anime/10716/Towa_no_Quon_5__Souzetsu_no_Raifuku,https://cdn.myanimelist.net/r/50x70/images/anime/3/34343.jpg?s=7fb8752f2599ad7de245cf110140fb95
2212,Urusei Yatsura Movie 5: Kanketsu-hen,7.46,https://myanimelist.net/anime/1924/Urusei_Yatsura_Movie_5__Kanketsu-hen,https://cdn.myanimelist.net/r/50x70/images/anime/1776/113284.jpg?s=ecc9443228bb8f6aa18402f6f7df175c
2213,Waga Seishun no Arcadia,7.46,https://myanimelist.net/anime/2202/Waga_Seishun_no_Arcadia,https://cdn.myanimelist.net/r/50x70/images/anime/3/52037.jpg?s=bcc0046de1748cbc4774c1ff1ed088f0
2214,Xian Wu Chuan 2nd Season,7.46,https://myanimelist.net/anime/56717/Xian_Wu_Chuan_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1269/150045.jpg?s=91a29ce48a81b46b7edc87c807d688cd
2215,Youjo Senki: Sabaku no Pasta Daisakusen,7.46,https://myanimelist.net/anime/49236/Youjo_Senki__Sabaku_no_Pasta_Daisakusen,https://cdn.myanimelist.net/r/50x70/images/anime/1210/117213.jpg?s=c56ef780470491e34a5273fc6cc6ff5d
2216,Zombieland Saga Movie: Yumeginga Paradise,7.46,https://myanimelist.net/anime/50159/Zombieland_Saga_Movie__Yumeginga_Paradise,https://cdn.myanimelist.net/r/50x70/images/anime/1552/151187.jpg?s=b14bb877548dd50909e61813f8165d09
2217,Another,7.46,https://myanimelist.net/anime/11111/Another,https://cdn.myanimelist.net/r/50x70/images/anime/4/75509.jpg?s=bedc6b5df639a126aa125bb4d2ef5424
2218,Doraemon Movie 36: Shin Nobita no Nippon Tanjou,7.46,https://myanimelist.net/anime/31201/Doraemon_Movie_36__Shin_Nobita_no_Nippon_Tanjou,https://cdn.myanimelist.net/r/50x70/images/anime/7/78157.jpg?s=6e5d1e261fc1bf6281a2a62b500d70db
2219,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,7.46,https://myanimelist.net/anime/40454/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_III,https://cdn.myanimelist.net/r/50x70/images/anime/1523/108380.jpg?s=530c0ffde3d959e510749098851abca4
2220,Elfen Lied,7.46,https://myanimelist.net/anime/226/Elfen_Lied,https://cdn.myanimelist.net/r/50x70/images/anime/1780/121555.jpg?s=aa00a4b590a040122e3b37ef08067ecc
2221,Feng Ling Yu Xiu,7.46,https://myanimelist.net/anime/36184/Feng_Ling_Yu_Xiu,https://cdn.myanimelist.net/r/50x70/images/anime/1658/115791.jpg?s=cca90490d235b88cb356fa1c85edf45e
2222,Hidamari Sketch,7.46,https://myanimelist.net/anime/1852/Hidamari_Sketch,https://cdn.myanimelist.net/r/50x70/images/anime/1893/133786.jpg?s=9c0986d202bd74af0cca6224724a76a2
2223,High School DxD New,7.46,https://myanimelist.net/anime/15451/High_School_DxD_New,https://cdn.myanimelist.net/r/50x70/images/anime/12/47729.jpg?s=7c377869a20132d9d2b591b699c70de4
2224,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,7.46,https://myanimelist.net/anime/40841/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen_OVA,https://cdn.myanimelist.net/r/50x70/images/anime/1931/114311.jpg?s=2ca7112f31b95c10b5e04c184fdf8d3b
2225,Acchi Kocchi: Place=Princess,7.45,https://myanimelist.net/anime/16273/Acchi_Kocchi__Place_Princess,https://cdn.myanimelist.net/r/50x70/images/anime/12/43823.jpg?s=0ef77a85082977545d6fc0a43da4832d
2226,Amagi Brilliant Park,7.45,https://myanimelist.net/anime/22147/Amagi_Brilliant_Park,https://cdn.myanimelist.net/r/50x70/images/anime/5/85435.jpg?s=7ed74447820deab77b52178da0168a5d
2227,Carnival Phantasm EX Season,7.45,https://myanimelist.net/anime/12187/Carnival_Phantasm_EX_Season,https://cdn.myanimelist.net/r/50x70/images/anime/4/64281.jpg?s=ce32bee7940c6f737c6f2367a7343797
2228,Chio-chan no Tsuugakuro,7.45,https://myanimelist.net/anime/35821/Chio-chan_no_Tsuugakuro,https://cdn.myanimelist.net/r/50x70/images/anime/1073/95042.jpg?s=9e8d2661b06983f8db4f74fbb47e9991
2229,Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,7.45,https://myanimelist.net/anime/27601/Chuunibyou_demo_Koi_ga_Shitai_Ren__The_Rikka_Wars,https://cdn.myanimelist.net/r/50x70/images/anime/3/66827.jpg?s=de6f192cfe3fe042e5406d97393727cc
2230,Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,7.45,https://myanimelist.net/anime/6460/Crayon_Shin-chan_Movie_05__Ankoku_Tamatama_Daitsuiseki,https://cdn.myanimelist.net/r/50x70/images/anime/3/22021.jpg?s=52a5998efb37cdf513d1c3593cc4bbbf
2231,Crayon Shin-chan Movie 29: Nazo Meki! Hana no Tenkasu Gakuen,7.45,https://myanimelist.net/anime/44616/Crayon_Shin-chan_Movie_29__Nazo_Meki_Hana_no_Tenkasu_Gakuen,https://cdn.myanimelist.net/r/50x70/images/anime/1167/119187.jpg?s=4e337dbe71a77551fec1303cf89f5273
2232,Do It Yourself!!,7.45,https://myanimelist.net/anime/48542/Do_It_Yourself,https://cdn.myanimelist.net/r/50x70/images/anime/1408/127129.jpg?s=ee4a5fa2daf5cb76b34fd8a100915288
2233,Donten ni Warau,7.45,https://myanimelist.net/anime/21743/Donten_ni_Warau,https://cdn.myanimelist.net/r/50x70/images/anime/1661/114954.jpg?s=3b95860348034accae076ef434714a54
2234,Doraemon Movie 42: Nobita to Sora no Utopia,7.45,https://myanimelist.net/anime/52318/Doraemon_Movie_42__Nobita_to_Sora_no_Utopia,https://cdn.myanimelist.net/r/50x70/images/anime/1299/131609.jpg?s=004868b01fb61a0805a03d187dd15c63
2235,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,7.45,https://myanimelist.net/anime/37348/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_Movie__Orion_no_Ya,https://cdn.myanimelist.net/r/50x70/images/anime/1239/96949.jpg?s=78996e899ca5f9e9b8a8492fbf4e523e
2236,Fairy Tail OVA,7.45,https://myanimelist.net/anime/9982/Fairy_Tail_OVA,https://cdn.myanimelist.net/r/50x70/images/anime/10/65661.jpg?s=6d47cca016ce2bf3d21850103035b886
2237,Grappler Baki (TV),7.45,https://myanimelist.net/anime/287/Grappler_Baki_TV,https://cdn.myanimelist.net/r/50x70/images/anime/1782/128917.jpg?s=c67b562b89a19bc30738d07508997b23
2238,Grisaia no Kajitsu,7.45,https://myanimelist.net/anime/17729/Grisaia_no_Kajitsu,https://cdn.myanimelist.net/r/50x70/images/anime/1645/112632.jpg?s=3677c9a51ee59a25c18074e1cb36b721
2239,Hanhua Riji,7.45,https://myanimelist.net/anime/39676/Hanhua_Riji,https://cdn.myanimelist.net/r/50x70/images/anime/1042/100435.jpg?s=435bafc4d7de510535125722324f5a28
2240,Hime-chan no Ribbon,7.45,https://myanimelist.net/anime/2037/Hime-chan_no_Ribbon,https://cdn.myanimelist.net/r/50x70/images/anime/1049/111001.jpg?s=63e10f79eec3b440ab73fb23316a0e76
2241,Itsudatte Bokura no Koi wa 10 cm Datta.,7.45,https://myanimelist.net/anime/36220/Itsudatte_Bokura_no_Koi_wa_10_cm_Datta,https://cdn.myanimelist.net/r/50x70/images/anime/1015/123541.jpg?s=7d3d027d84540ce9d6d5dc016c19c36a
2242,Jiisan Baasan Wakagaeru,7.45,https://myanimelist.net/anime/56230/Jiisan_Baasan_Wakagaeru,https://cdn.myanimelist.net/r/50x70/images/anime/1676/141714.jpg?s=a66e61e3aed36141132ec920bbbc617c
2243,Kimi wo Aishita Hitori no Boku e,7.45,https://myanimelist.net/anime/49835/Kimi_wo_Aishita_Hitori_no_Boku_e,https://cdn.myanimelist.net/r/50x70/images/anime/1332/127596.jpg?s=24d197c7025aa3f1ec2cce3505a21885
2244,Kishuku Gakkou no Juliet,7.45,https://myanimelist.net/anime/37475/Kishuku_Gakkou_no_Juliet,https://cdn.myanimelist.net/r/50x70/images/anime/1908/93416.jpg?s=2e060f209aea424695c35f79fd03a055
2245,"Kumo desu ga, Nani ka?",7.45,https://myanimelist.net/anime/37984/Kumo_desu_ga_Nani_ka,https://cdn.myanimelist.net/r/50x70/images/anime/1593/113724.jpg?s=d17599f12346e6f00964f443f33d02e2
2246,Kyuuketsuki Sugu Shinu 2,7.45,https://myanimelist.net/anime/50287/Kyuuketsuki_Sugu_Shinu_2,https://cdn.myanimelist.net/r/50x70/images/anime/1254/131832.jpg?s=0332007ecebc5db3663ab58a20f6d4db
2247,Lady Lady!!,7.45,https://myanimelist.net/anime/2227/Lady_Lady,https://cdn.myanimelist.net/r/50x70/images/anime/13/16818.jpg?s=486b5172eec501d308feb01f8650b121
2248,Madang-eul Naon Amtalg,7.45,https://myanimelist.net/anime/12917/Madang-eul_Naon_Amtalg,https://cdn.myanimelist.net/r/50x70/images/anime/1640/90459.jpg?s=8f7a9ef4f22e58293e03d95dfd38f6ac
2249,Magic Knight Rayearth,7.45,https://myanimelist.net/anime/435/Magic_Knight_Rayearth,https://cdn.myanimelist.net/r/50x70/images/anime/1683/97042.jpg?s=bb1693640d326eb04948818a66e60c5f
2250,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,7.45,https://myanimelist.net/anime/32900/Mahouka_Koukou_no_Rettousei_Movie__Hoshi_wo_Yobu_Shoujo,https://cdn.myanimelist.net/r/50x70/images/anime/8/85524.jpg?s=d76c5b3b6352e4a09ee7198a8346e0c6
